,model,colours,ratings,reviews,selling_price(Rs),actual_price(Rs),off(%),connectivity,brand,type,colour,discount
0,boAt Airdopes 491 True Wireless Bluetooth Headset,"Spirit Lime, True Wireless",3.6,751,2999,6974,57,Bluetooth Headset,boAt,True Wireless,Spirit Lime,3975
1,boAt Airdopes 641 Bluetooth Headset,"Black Fusion, True Wireless",4.2,28,2999,6974,57,Bluetooth Headset,boAt,True Wireless,Black Fusion,3975
2,OnePlus Bullets Wireless Z Bluetooth Headset,"Black, In the Ear",4.4,257701,1999,2173,8,Bluetooth Headset,OnePlus,In the Ear,Black,174
3,OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,"Reverb Red, In the Ear",4.4,102096,1999,2173,8,,OnePlus,In the Ear,Reverb Red,174
4,Mivi Collar Classic with Fast Charging Bluetooth Headse...,"Black, In the Ear",4.0,802,999,2498,60,,Mivi,In the Ear,Black,1499
5,boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,"Black, In the Ear",4.2,652588,1199,2924,59,,boAt,In the Ear,Black,1725
6,boAt Airdopes 131 Bluetooth Headset,"Active Black, True Wireless",4.0,142104,1299,2952,56,Bluetooth Headset,boAt,True Wireless,Active Black,1653
7,boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,"Blue, In the Ear",4.2,652588,1198,2922,59,,boAt,In the Ear,Blue,1724
8,boAt Rockerz 335 Bluetooth Headset,"Ocean Blue, In the Ear",4.1,28841,1599,3900,59,Bluetooth Headset,boAt,In the Ear,Ocean Blue,2301
9,boAt BassHeads 900 Wired Headset,"Carbon Black, On the Ear",4.4,146976,674,2407,72,Wired Headset,boAt,On the Ear,Carbon Black,1733
10,boAt Bassheads 103 Black Wired Headset,"Black, In the Ear",4.3,205935,399,1287,69,Wired Headset,boAt,In the Ear,Black,888
11,boAt BassHeads 100 Wired Headset,"Black, In the Ear",4.3,773917,399,998,60,Wired Headset,boAt,In the Ear,Black,599
12,OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,"Bass Blue, In the Ear",4.4,102096,1999,2173,8,,OnePlus,In the Ear,Bass Blue,174
13,boAt Airdopes 641 Bluetooth Headset,"White Fury, True Wireless",4.2,28,2999,6974,57,Bluetooth Headset,boAt,True Wireless,White Fury,3975
14,boAt Airdopes 131 Bluetooth Headset,"Cherry Blossom, True Wireless",4.0,142104,1299,2952,56,Bluetooth Headset,boAt,True Wireless,Cherry Blossom,1653
15,boAt Bassheads 242 Wired Headset,"Active Black, In the Ear",4.3,179052,499,1468,66,Wired Headset,boAt,In the Ear,Active Black,969
16,boAt Rockerz 335 Bluetooth Headset,"Raging Red, In the Ear",4.1,28841,1599,3900,59,Bluetooth Headset,boAt,In the Ear,Raging Red,2301
17,boAt Bassheads 103 Blue Wired Headset,"Blue, In the Ear",4.3,205935,397,1281,69,Wired Headset,boAt,In the Ear,Blue,884
18,ViVO High Bass Earphones Noise Isolating White 1103 Wir...,"White, In the Ear",3.5,16520,190,950,80,,ViVO,In the Ear,White,760
19,OnePlus Buds Z Bluetooth Headset,"Grey, True Wireless",4.3,21618,2999,3157,5,Bluetooth Headset,OnePlus,True Wireless,Grey,158
20,OPPO Earphone Wired Headset,"White, In the Ear",3.4,31734,192,960,80,Wired Headset,OPPO,In the Ear,White,768
21,Boult Audio Bass Bud Q2 Wired Headset,"Black, On the Ear",4.1,6644,499,2495,80,Wired Headset,Boult,On the Ear,Black,1996
22,boAt 103 Wireless Bluetooth Headset,"Active Black, In the Ear",4.0,24728,1199,1966,39,Bluetooth Headset,boAt,In the Ear,Active Black,767
23,Boult Audio Air Bass Power Buds Bluetooth Headset,"Black, True Wireless",3.9,1037,2199,8796,75,Bluetooth Headset,Boult,True Wireless,Black,6597
24,OnePlus Bullets Wireless Z Bluetooth Headset,"Mint, In the Ear",4.4,257701,1999,2173,8,Bluetooth Headset,OnePlus,In the Ear,Mint,174
25,boAt Rockerz 255F Bluetooth Headset,"Active Black, In the Ear",4.2,692302,1299,2952,56,Bluetooth Headset,boAt,In the Ear,Active Black,1653
26,boAt Rockerz 235v2 Bluetooth Headset,"Grey, In the Ear",4.2,652588,1195,2988,60,Bluetooth Headset,boAt,In the Ear,Grey,1793
